ተፈንጠለ;fnTl:[as=smp,vc=ps];;split_v;crack_v;break_v
ነቀወ;nq_w:[as=smp,vc=smp];;coo_v
ነቐለ;nql:[as=smp,vc=smp];;loosen_v
ነቑሐ;nqWH:[as=smp,vc=smp];;hatch_v
ነቐፈ;nqf:[as=smp,vc=smp];;criticize_v
ነቕነቐ;nqnq:[as=smp,vc=smp];;shake_v
ነበረ;nbr:[as=smp,vc=smp];;exist_v;live_v;be_v alive;survive_v
ነበበ;nbb:[as=smp,vc=smp];;read_v
ነብሐ;nbH:[as=smp,vc=smp];;bark_v
ነከየ;nk_y:[as=smp,vc=smp];;reduce_v
ነኸሰ;nks:[as=smp,vc=smp];;prick_v;sting_v;bite_v
ነዓቐ;n`q:[as=smp,vc=smp];;despise_v
ነዝሐ;nzH:[as=smp,vc=smp];;spread_v
ነደደ;ndd:[as=smp,vc=smp];;burn_v
ነደፈ;ndf:[as=smp,vc=smp];;write_v;draw_v up
ነድሐ;ndH:[as=smp,vc=smp];;kick_v
ነገረ;ngr:[as=smp,vc=smp];;inform_v;tell_v;tell_v about
ነገፈ;ngf:[as=smp,vc=smp];;scrub_v
ነጐደ;ngWd:[as=smp,vc=smp];;thunder_v
ነጠረ;nTr:[as=smp,vc=smp];;jump_v;leap_v
ነጠበ;nTb:[as=smp,vc=smp];;drop_v
ነጸገ;nSg:[as=smp,vc=smp];;refuse_v;decline_v;reject_v
ነጽነጸ;nSnS:[as=smp,vc=smp];;shake_v
ነፈረ;nfr:[as=smp,vc=smp];;fly_v away;take_v off
ነፈሰ;nfs:[as=smp,vc=smp];;blow_v
ነፍሐ;nfH:[as=smp,vc=smp];;blow_v up
ናበየ;naby:[as=smp,vc=smp];;maintain_v
ኣመስገነ;msgn:[as=smp,vc=tr];;appreciate_v
ኣመልከተ;mlkt:[as=smp,vc=tr];;indicate_v;point_v
ኣመሓየሸ;mHayx:[as=smp,vc=tr];;improve_v
ኣመሓደረ;mHdr:[as=rc,vc=tr];;manage_v
ኣመዛዘነ;mzn:[as=it,vc=tr];;compare_v
ኣማዕበለ;m`bl:[as=smp,vc=tr];;promote_v
ኣረድአ;rd_':[as=smp,vc=tr];;teach_v;make_v understand
ረድአ;rd_':[as=smp,vc=smp];;help_v;support_v
ኣርኣየ;r'y:[as=smp,vc=tr];;show_v
ኣለቅሐ;lq_H:[as=smp,vc=tr];;lend_v
ኣሰንበተ;snbt:[as=smp,vc=tr];;dismiss_v
ኣሰንበተ;snbt:[as=smp,vc=tr];;spend_v Sunday
ሰፍሐ;sfH:[as=smp,vc=smp];;become_v wide
ኣቐበለ;qb_l:[as=smp,vc=tr];;hand_v
ኣበየ;'by:[as=smp,vc=smp];;refuse_v
ኣብልዐ;bl`:[as=smp,vc=tr];;feed_v
ኣበርከተ;brkt:[as=smp,vc=tr];;contribute_v
ኣብጽሐ;bSH:[as=smp,vc=tr];;deliver_v
ኣባኸነ;bakn:[as=smp,vc=tr];;waste_v
ኣጥቅዐ;Tq`:[as=smp,vc=tr];;attack_v
ኣንቀሳቐሰ;n|qsaqs:[as=smp,vc=tr];;move_v
ኣንደደ;ndd:[as=smp,vc=tr];;burn_v
ኣናደየ;nady:[as=smp,vc=tr];;seek_v
ኣኣንገደ;'ngd:[as=smp,vc=tr];;treat_v
ኣካፈለ;kfl:[as=rc,vc=tr];;share_v
ከፈለ;kfl:[as=smp,vc=smp];;pay_v;divide_v
ኣውጽአ;wS':[as=smp,vc=tr];;issue_v
ኣዕረፈ;`rf:[as=smp,vc=tr];;rest_v
ዓረፈ;`rf:[as=smp,vc=smp];;die_v;pass_v out
ኣዕረፈ;`rf:[as=smp,vc=tr];;retire_v
ኣዘከረ;zk_r:[as=smp,vc=tr];;remind_v
ዘከረ;zk_r:[as=smp,vc=smp];;remember_v
ኣደፋፈረ;dfr:[as=it,vc=tr];;encourage_v
ደፈረ;dfr:[as=smp,vc=smp];;disrespect_v;become_v courageous;be_v brave;be_v emboldened;embolden_v[ps]
ኣዳለወ;dlw:[as=rc,vc=tr];;arrange_v;organize_v;prepare_v
ኣድለየ;dly:[as=smp,vc=tr];;be_v required;require_v[ps];be_v wanted;want_v[ps]
ደለየ;dly:[as=smp,vc=smp];;search_v;want_v;desire_v
ኣገልገለ;glgl:[as=smp,vc=tr];;serve_v
ኣግበረ;gbr:[as=smp,vc=tr];;cause_v
ገበረ;gbr:[as=smp,vc=smp];;do_v;make_v
ኣጠንቀቐ;Tnqq:[as=smp,vc=tr];;warn_v
ኣጣመረ;Tmr:[as=rc,vc=tr];;combine_v;help_v to tie
ጠመረ;Tmr:[as=smp,vc=smp];;tie_v;bundle_v
ኣጣበቐ;Tbq:[as=rc,vc=tr];;stick_v;attach_v
ጠበቐ;Tbq:[as=smp,vc=smp];;be_v attached;attach_v[ps]
ኣጥረየ;Try:[as=smp,vc=tr];;own_v;possess_v
ኣጥበቐ;Tbq:[as=smp,vc=tr];;fasten_v;stick_v;glue_v
ጠበቐ;Tbq:[as=smp,vc=smp];;stick_v;glue_v
ኣጥፍአ;Tf':[as=smp,vc=tr];;cause_v to lose;make_v disappear
ጠፍአ;Tf':[as=smp,vc=smp];;disappear_v;vanish_v
ኣፈራርሐ;frH:[as=it,vc=tr];;threaten_v
ፈርሐ;frH:[as=smp,vc=smp];;be_v frighted;scare_v
